,Source,Date,Text,Compound,Positive,Neutral,Negative
0,BBCWorld,Mon Jan 15 07:30:20 +0000 2018,"RT @BBCSport: 2017 runner-up Venus Williams is out in the first round at the #AusOpen.

What a moment for Belinda Bencic. ?

? https://t.co…",0.0,0.0,1.0,0.0
1,BBCWorld,Mon Jan 15 06:24:58 +0000 2018,"RT @BBCBreaking: Internal ceiling collapses at Jakarta stock exchange building, with some reports of injuries https://t.co/yqFghL3nbA",-0.296,0.0,0.872,0.128
2,BBCWorld,Mon Jan 15 06:24:54 +0000 2018,RT @BBCBreaking: Images from central Jakarta after reported ceiling collapse in lobby of Indonesian stock exchange: https://t.co/47bbW9fFKU…,-0.4767,0.057,0.777,0.166
3,BBCWorld,Mon Jan 15 06:21:50 +0000 2018,Baghdad suicide double suicide attack kills many https://t.co/xxtWEg9DYw,-0.9485,0.0,0.204,0.796
4,BBCWorld,Mon Jan 15 06:18:49 +0000 2018,Jakarta stock exchange ceiling collapses https://t.co/JFv7P295uF,-0.296,0.0,0.694,0.306
5,BBCWorld,Mon Jan 15 04:45:24 +0000 2018,Aziz Ansari responds to assault allegation https://t.co/xNx3hPMii5,-0.5859,0.0,0.612,0.388
6,BBCWorld,Mon Jan 15 03:53:27 +0000 2018,RT @BBCIndia: Moshe Holtzberg: The Israeli boy who survived 2008 Mumbai attack https://t.co/6Vsu0jlWjt,0.0516,0.19,0.632,0.178
7,BBCWorld,Mon Jan 15 03:51:45 +0000 2018,RT @SallyBundockBBC: Apparently it’s #bluemonday2018 - “the most depressing day of the year”. I brought in cup cakes and banana bread for t…,-0.4391,0.0,0.874,0.126
8,BBCWorld,Mon Jan 15 02:54:22 +0000 2018,RT @BBCNewsAsia: North and South Korea begin talks on Pyongyang's plan to send art troupe to Winter Olympics: https://t.co/vYpyhcw1Q4,0.0,0.0,1.0,0.0
9,BBCWorld,Mon Jan 15 02:42:25 +0000 2018,North and South Korea discuss sending art troupe to Winter Olympics https://t.co/PRWrX5OPSx,0.0,0.0,1.0,0.0
